JOBID USER ACCOUNT NODELIST
34781237 pgurunat m3547 nid0[1228-1231,1233-1234,1236-1237]
34781244 pgurunat m3547 nid0[2034-2041]
34781249 pgurunat m3547 nid0[2042-2047,2049-2050]
34781256 pgurunat m3547 nid0[2051,2053-2059]
34781049 pgurunat m3547 nid0[1895-1902]
34781054 pgurunat m3547 nid0[1903-1910]
34781027 pgurunat m3547 nid0[1879-1886]
34781031 pgurunat m3547 nid0[1887-1894]
34780988 pgurunat m3547 nid0[1195-1202]
34780989 pgurunat m3547 nid0[1836-1843]
34780998 pgurunat m3547 nid0[1852-1859]
34780978 pgurunat m3547 nid0[1203-1210]
34780969 pgurunat m3547 nid0[1187-1194]
34780924 pgurunat m3547 nid0[1171-1178]
34780928 pgurunat m3547 nid0[1179-1186]
34780913 pgurunat m3547 nid0[1163-1170]
